statement_month,max_horizon,Payment_mpe,Payment_ampe,PurchaseVolume_mpe,PurchaseVolume_ampe,EOS_mpe,EOS_ampe,EOS_pred_negative
2019-01-01,13,-5.6174309918518395,5.6174309918518395,4.917439999241066,4.917439999241066,-12.01247637501103,12.01247637501103,False
2019-02-01,12,-6.124090920072307,6.124090920072307,5.25312478929791,5.25312478929791,-11.72530442252789,11.72530442252789,False
2019-03-01,11,-5.815231368956892,5.815231368956892,4.3254772903313015,4.3254772903313015,-12.015712279872016,12.015712279872016,False
2019-04-01,10,-6.336207485921559,6.336207485921559,5.589520729499165,5.589520729499165,-12.05135078495944,12.05135078495944,False
2019-05-01,9,-5.455847631041979,5.455847631041979,4.2969744664610525,4.2969744664610525,-12.01281891722358,12.01281891722358,False
2019-06-01,8,-6.39616736188086,6.39616736188086,4.482768689342705,4.482768689342705,-11.723329991117412,11.723329991117412,False
2019-07-01,7,-5.852791338575074,5.852791338575074,5.292693695290127,5.292693695290127,-11.958565571096557,11.958565571096557,False
2019-08-01,6,-5.331745057185968,5.331745057185968,4.966901056523364,4.966901056523364,-11.84920559989633,11.84920559989633,False
2019-09-01,5,-6.060323030376879,6.060323030376879,5.438652951773512,5.438652951773512,-11.385301866318489,11.385301866318489,False
2019-10-01,4,-5.570896140828963,5.570896140828963,5.531755401500558,5.531755401500558,-12.144851253649854,12.144851253649854,False
2019-11-01,3,-5.76174631353332,5.76174631353332,4.718291046179938,4.718291046179938,-12.060204799942891,12.060204799942891,False
2019-12-01,2,-5.992666037202424,5.992666037202424,4.7344051726692085,4.7344051726692085,-11.38648612782748,11.38648612782748,False
2020-01-01,1,-5.147936667764131,5.147936667764131,5.264301081766378,5.264301081766378,-12.735310433891673,12.735310433891673,False
2021-07-01,26,-5.680245190077741,5.680245190077741,4.642787764169507,4.642787764169507,-12.20349729775951,12.20349729775951,False
2021-08-01,25,-5.716043976956377,5.716043976956377,4.853880664271364,4.853880664271364,-11.994119035096153,11.994119035096153,False
2021-09-01,24,-5.606707882133395,5.606707882133395,5.481016360274527,5.481016360274527,-11.991551018730757,11.991551018730757,False
2021-10-01,23,-5.945551511434462,5.945551511434462,5.4024265009225765,5.4024265009225765,-12.075363919569423,12.075363919569423,False
2021-11-01,22,-6.085794122011271,6.085794122011271,5.237233187616332,5.237233187616332,-11.603810906534422,11.603810906534422,False
2021-12-01,21,-5.804314743259448,5.804314743259448,5.017611158964174,5.017611158964174,-12.161529372535417,12.161529372535417,False
2022-01-01,20,-6.066270810832802,6.066270810832802,5.169002135991644,5.169002135991644,-12.159653685064828,12.159653685064828,False
2022-02-01,19,-5.896502953567852,5.896502953567852,4.861226270847356,4.861226270847356,-12.0539941764805,12.0539941764805,False
2022-03-01,18,-5.923568173688958,5.923568173688958,5.0027339407472535,5.0027339407472535,-11.832596552030866,11.832596552030866,False
2022-04-01,17,-6.083262978644003,6.083262978644003,5.08771481614188,5.08771481614188,-12.023770335933893,12.023770335933893,False
2022-05-01,16,-6.16223418034227,6.16223418034227,5.333996632122917,5.333996632122917,-11.932408507348145,11.932408507348145,False
2022-06-01,15,-6.438632249590487,6.438632249590487,4.616571410140923,4.616571410140923,-11.92019404134919,11.92019404134919,False
2022-07-01,14,-6.632316184275883,6.632316184275883,4.773964396552108,4.773964396552108,-11.85073331188157,11.85073331188157,False
2022-08-01,13,-6.09003358959724,6.09003358959724,5.2617548187104335,5.2617548187104335,-12.10618043424409,12.10618043424409,False
2022-09-01,12,-5.403497289838016,5.403497289838016,4.885209070217593,4.885209070217593,-11.53966758491035,11.53966758491035,False
2022-10-01,11,-5.9464211992039555,5.9464211992039555,4.867980687605107,4.867980687605107,-11.695357470000497,11.695357470000497,False
2022-11-01,10,-5.426000099485283,5.426000099485283,4.905868725225049,4.905868725225049,-11.475102041020772,11.475102041020772,False
2022-12-01,9,-5.44068934553164,5.44068934553164,5.124680876671651,5.124680876671651,-12.311394481506808,12.311394481506808,False
2023-01-01,8,-5.65513849266938,5.65513849266938,5.138312233591863,5.138312233591863,-11.993256312932019,11.993256312932019,False
2023-02-01,7,-5.734694056420435,5.734694056420435,4.450120725379132,4.450120725379132,-11.545035920723052,11.545035920723052,False
2023-03-01,6,-5.766376813443273,5.766376813443273,5.817436983568221,5.817436983568221,-12.122169665757255,12.122169665757255,False
2023-04-01,5,-6.340941489694628,6.340941489694628,5.891996196882452,5.891996196882452,-11.977594309124274,11.977594309124274,False
2023-05-01,4,-6.018102020827179,6.018102020827179,5.223770602641038,5.223770602641038,-12.146588103866724,12.146588103866724,False
2023-06-01,3,-6.2862193953778105,6.2862193953778105,4.482824445498432,4.482824445498432,-11.942960248926376,11.942960248926376,False
