statement_month,max_horizon,Payment_mpe,Payment_ampe,PurchaseVolume_mpe,PurchaseVolume_ampe,EOS_mpe,EOS_ampe,EOS_pred_negative
2019-01-01,13,10.189850811899074,10.189850811899074,8.954699481400468,8.954699481400468,18.162408826569774,18.162408826569774,False
2019-02-01,12,10.135286674137891,10.135286674137891,7.452699396044964,7.452699396044964,17.647486776544085,17.647486776544085,False
2019-03-01,11,10.029048288398513,10.029048288398513,8.143075928447354,8.143075928447354,17.894201838470224,17.894201838470224,False
2019-04-01,10,9.655037452783029,9.655037452783029,7.983171841897647,7.983171841897647,18.352788727619355,18.352788727619355,False
2019-05-01,9,10.33591088975689,10.33591088975689,8.479561029618335,8.479561029618335,17.802523593696897,17.802523593696897,False
2019-06-01,8,9.806089048112167,9.806089048112167,6.834359561056269,6.834359561056269,18.193460726062575,18.193460726062575,False
2019-07-01,7,10.410185551021208,10.410185551021208,8.001062847195938,8.001062847195938,18.831458055960486,18.831458055960486,False
2019-08-01,6,10.71559608063727,10.71559608063727,8.37919547357116,8.37919547357116,17.919352477124857,17.919352477124857,False
2019-09-01,5,10.580055841367287,10.580055841367287,6.4838509915286835,6.4838509915286835,17.80573738676688,17.80573738676688,False
2019-10-01,4,10.619478742257488,10.619478742257488,7.605828873470541,7.605828873470541,17.59460871819275,17.59460871819275,False
2019-11-01,3,9.166081681605288,9.166081681605288,8.311307530476617,8.311307530476617,19.389109895233883,19.389109895233883,False
2019-12-01,2,9.924387641258729,9.924387641258729,7.0916995234985345,7.0916995234985345,16.856428352338206,16.856428352338206,False
2020-01-01,1,11.855621054502334,11.855621054502334,10.967396654613585,10.967396654613585,18.59109132995309,18.59109132995309,False
2021-07-01,26,9.868976275635424,9.868976275635424,7.661134199685204,7.661134199685204,17.992654514070882,17.992654514070882,False
2021-08-01,25,9.813276593403335,9.813276593403335,8.400925781010562,8.400925781010562,18.331153734972762,18.331153734972762,False
2021-09-01,24,10.254870782392508,10.254870782392508,7.632351874973095,7.632351874973095,17.771923271633497,17.771923271633497,False
2021-10-01,23,9.922478437219532,9.922478437219532,8.581974686701512,8.581974686701512,18.40129533115703,18.40129533115703,False
2021-11-01,22,10.434455798459027,10.434455798459027,7.396957745473874,7.396957745473874,18.150417793809353,18.150417793809353,False
2021-12-01,21,9.94925483382285,9.94925483382285,7.928840180797948,7.928840180797948,17.810808598492404,17.810808598492404,False
2022-01-01,20,10.404411435570617,10.404411435570617,7.881445125498521,7.881445125498521,17.47642581071308,17.47642581071308,False
2022-02-01,19,9.779422377841177,9.779422377841177,8.21587442600647,8.21587442600647,17.782160543753548,17.782160543753548,False
2022-03-01,18,9.984238056271883,9.984238056271883,8.50314179032906,8.50314179032906,17.68326655297341,17.68326655297341,False
2022-04-01,17,9.963014834736349,9.963014834736349,8.138232533126923,8.138232533126923,17.61225978730557,17.61225978730557,False
2022-05-01,16,9.684837945771346,9.684837945771346,8.059518936333305,8.059518936333305,18.062040390152013,18.062040390152013,False
2022-06-01,15,9.782772060440134,9.782772060440134,7.481029291345899,7.481029291345899,18.08307689479058,18.08307689479058,False
2022-07-01,14,9.882303724431294,9.882303724431294,7.461648034521579,7.461648034521579,18.75159197224861,18.75159197224861,False
2022-08-01,13,9.889820896724776,9.889820896724776,7.871241461872863,7.871241461872863,18.23372728773158,18.23372728773158,False
2022-09-01,12,10.32607764356929,10.32607764356929,8.689201486681052,8.689201486681052,17.873245947212727,17.873245947212727,False
2022-10-01,11,9.446977969014466,9.446977969014466,7.619500349529871,7.619500349529871,18.312718411598773,18.312718411598773,False
2022-11-01,10,11.063991923071125,11.063991923071125,7.838401387857638,7.838401387857638,17.88355482873326,17.88355482873326,False
2022-12-01,9,10.032178829397314,10.032178829397314,8.072506148705488,8.072506148705488,18.435921031927066,18.435921031927066,False
2023-01-01,8,10.668539702919222,10.668539702919222,7.146770296021082,7.146770296021082,18.177108416003417,18.177108416003417,False
2023-02-01,7,10.328132644704665,10.328132644704665,8.579819379278339,8.579819379278339,17.429998729775363,17.429998729775363,False
2023-03-01,6,10.066200361700707,10.066200361700707,7.113016024703548,7.113016024703548,17.793749889538947,17.793749889538947,False
2023-04-01,5,10.324674413910378,10.324674413910378,6.476156400814347,6.476156400814347,18.126629168045177,18.126629168045177,False
2023-05-01,4,10.159984989676232,10.159984989676232,7.4433478330926635,7.4433478330926635,17.804037596080306,17.804037596080306,False
2023-06-01,3,10.271395766236175,10.271395766236175,8.791012718154152,8.791012718154152,18.230926234586168,18.230926234586168,False
