account_id,product_type,geography,vintage_year,risk_segment,actual_loss,predicted_loss,exposure_k
ACC000000,Credit Card,Southeast,2019,Medium,0.07629,0.10161,72.16
ACC000001,Auto,Northeast,2021,Medium,0.03279,0.04132,1341.43
ACC000002,Commercial,Midwest,2021,Low,0.00924,0.01448,118.19
ACC000003,Credit Card,Midwest,2022,Low,0.02782,0.05138,76.88
ACC000004,Mortgage,Southeast,2021,Low,0.01082,0.01126,12.08
ACC000005,Commercial,West,2019,Low,0.00595,0.01925,49.72
ACC000006,Credit Card,Midwest,2020,Low,0.03551,0.06078,279.63
ACC000007,Credit Card,Northeast,2021,High,0.16423,0.17241,278.29
ACC000008,Mortgage,West,2023,Low,0.00371,0.00628,67.94
ACC000009,Auto,Northeast,2021,Low,0.01604,0.00366,72.62
ACC000010,Mortgage,Midwest,2022,Medium,0.01123,0.02341,1382.77
ACC000011,Commercial,Southeast,2022,Medium,0.01729,0.01908,3773.11
ACC000012,Auto,Midwest,2020,Low,0.01193,0.02272,589.77
ACC000013,Credit Card,West,2023,Low,0.02948,0.0436,964.04
ACC000014,Auto,Midwest,2022,High,0.06332,0.04847,1243.53
ACC000015,Mortgage,Midwest,2023,Low,0.0044,0.0255,2116.43
ACC000016,Auto,West,2022,Medium,0.02589,0.02694,103.31
ACC000017,Mortgage,Midwest,2022,Medium,0.01603,0.00803,51.73
ACC000018,Credit Card,West,2019,Low,0.03522,0.05939,1339.68
ACC000019,Auto,Southeast,2021,Medium,0.02112,0.03741,46.66
ACC000020,Credit Card,Northeast,2019,Low,0.04019,0.05357,43.19
ACC000021,Mortgage,Northeast,2022,Low,0.0066,0.0058,44.4
ACC000022,Commercial,Midwest,2022,Low,0.00748,0.00939,126.76
ACC000023,Commercial,Midwest,2021,High,0.03994,0.03105,13.72
ACC000024,Credit Card,Northeast,2020,Low,0.03166,0.04113,26.58
ACC000025,Mortgage,Northeast,2019,Low,0.01181,0.02607,70.33
ACC000026,Auto,West,2022,High,0.06578,0.06472,35.34
ACC000027,Mortgage,Midwest,2022,Low,0.001,0.001,531.07
ACC000028,Mortgage,West,2021,High,0.02848,0.02487,149.6
ACC000029,Credit Card,Northeast,2022,Medium,0.06662,0.0902,296.61
ACC000030,Credit Card,Northeast,2022,Medium,0.06347,0.06266,260.09
ACC000031,Commercial,Southeast,2021,Medium,0.0138,0.01583,115.8
ACC000032,Mortgage,West,2019,Medium,0.00903,0.02872,485.78
ACC000033,Mortgage,Midwest,2023,Low,0.00225,0.0185,255.34
ACC000034,Auto,West,2021,High,0.07331,0.0779,101.28
ACC000035,Mortgage,Southeast,2022,High,0.02604,0.03657,19.67
ACC000036,Mortgage,Southeast,2023,High,0.01996,0.03042,277.21
ACC000037,Auto,Midwest,2020,Medium,0.0299,0.0289,32.67
ACC000038,Mortgage,West,2022,Medium,0.01092,0.01832,234.24
ACC000039,Credit Card,Southeast,2019,Medium,0.07065,0.09996,163.15
ACC000040,Auto,Midwest,2023,Low,0.00944,0.001,29.01
ACC000041,Credit Card,West,2019,Low,0.03281,0.05242,202.37
ACC000042,Credit Card,Southeast,2021,Medium,0.06926,0.08715,186.71
ACC000043,Mortgage,West,2020,Medium,0.01224,0.01307,187.53
ACC000044,Credit Card,Midwest,2019,Low,0.03744,0.05255,177.04
ACC000045,Credit Card,West,2021,Low,0.03373,0.05059,67.84
ACC000046,Mortgage,Southeast,2023,Medium,0.01098,0.01351,301.85
ACC000047,Mortgage,Midwest,2019,Low,0.00459,0.01354,65.03
ACC000048,Credit Card,Southeast,2020,High,0.17188,0.19069,40.87
ACC000049,Mortgage,Midwest,2019,Medium,0.01549,0.01407,333.47
ACC000050,Mortgage,Southeast,2019,Low,0.01024,0.00352,456.56
ACC000051,Mortgage,Midwest,2020,Low,0.00208,0.001,307.18
ACC000052,Credit Card,West,2021,Medium,0.06538,0.08246,115.74
ACC000053,Credit Card,Southeast,2022,Low,0.03402,0.04337,14.48
ACC000054,Credit Card,Southeast,2022,Medium,0.06865,0.09121,878.34
ACC000055,Credit Card,Southeast,2022,Low,0.03685,0.05529,14.21
ACC000056,Auto,Midwest,2022,Low,0.01074,0.01989,299.85
ACC000057,Auto,Midwest,2020,Low,0.0182,0.01309,1867.37
ACC000058,Mortgage,Midwest,2023,Medium,0.01018,0.00353,177.57
ACC000059,Mortgage,Northeast,2019,High,0.03313,0.04222,210.5
ACC000060,Credit Card,Northeast,2022,High,0.15986,0.1759,233.97
ACC000061,Auto,Northeast,2019,Low,0.01121,0.00959,188.26
ACC000062,Auto,West,2022,Medium,0.0279,0.03349,2491.74
ACC000063,Credit Card,West,2019,Low,0.03902,0.05931,53.96
ACC000064,Auto,Northeast,2020,Medium,0.02869,0.01864,46.41
ACC000065,Auto,Northeast,2020,High,0.07114,0.08221,100.18
